© 2000-2025 QIAGEN. All rights reserved.

Canonical Pathways	dpi01	dpi03	dpi05	dpi07	dpi10	dpi15	dpi21	dpi28
Role of PKR in Interferon Induction and Antiviral Response	N/A	N/A	N/A	2.53	N/A	N/A	N/A	N/A
PKR-mediated signaling	N/A	N/A	N/A	2.449	N/A	N/A	N/A	N/A
Crosstalk between Dendritic Cells and Natural Killer Cells	N/A	N/A	N/A	2.449	N/A	N/A	N/A	N/A
NAD Signaling Pathway	N/A	N/A	N/A	2.449	N/A	N/A	N/A	N/A
Retinoic acid Mediated Apoptosis Signaling	N/A	N/A	N/A	2.449	N/A	N/A	N/A	N/A
ABRA Signaling Pathway	N/A	N/A	N/A	-0.447	N/A	N/A	-2.0	N/A
Endothelin-1 Signaling	N/A	N/A	N/A	1.342	N/A	-1.0	N/A	N/A
G-Protein Coupled Receptor Signaling	N/A	N/A	-0.447	1.414	N/A	-0.378	N/A	N/A
DNA Damage/Telomere Stress Induced Senescence	N/A	N/A	N/A	N/A	N/A	2.236	N/A	N/A
Transcriptional regulation of granulopoiesis	N/A	N/A	N/A	N/A	N/A	2.236	N/A	N/A
TCF dependent signaling in response to WNT	N/A	N/A	N/A	N/A	N/A	2.236	N/A	N/A
Amyloid fiber formation	N/A	N/A	N/A	N/A	N/A	2.236	N/A	N/A
Post-translational protein phosphorylation	N/A	N/A	N/A	2.236	N/A	N/A	N/A	N/A
Glycerophospholipid biosynthesis	N/A	N/A	N/A	2.236	N/A	N/A	N/A	N/A
Cytosolic sensors of pathogen-associated DNA	N/A	N/A	N/A	2.236	N/A	N/A	N/A	N/A
Iron uptake and transport	N/A	N/A	N/A	2.236	N/A	N/A	N/A	N/A
Signaling by VEGF	N/A	N/A	N/A	2.236	N/A	N/A	N/A	N/A
Transcriptional regulation by RUNX1	N/A	N/A	N/A	N/A	N/A	2.236	N/A	N/A
RUNX1 regulates megakaryocyte differentiation and platelet function	N/A	N/A	N/A	N/A	N/A	-2.236	N/A	N/A
Costimulation by the CD28 family	N/A	N/A	N/A	2.236	N/A	N/A	N/A	N/A
GABA receptor activation	N/A	N/A	N/A	2.236	N/A	N/A	N/A	N/A
Breast Cancer Regulation by Stathmin1	N/A	N/A	N/A	0.577	N/A	1.633	N/A	N/A
Extra-nuclear estrogen signaling	N/A	N/A	-1.0	0.707	N/A	-0.447	N/A	N/A
Death Receptor Signaling	N/A	N/A	N/A	2.121	N/A	N/A	N/A	N/A
CGAS-STING Signaling Pathway	N/A	N/A	N/A	2.111	N/A	0.0	N/A	N/A
FXR/RXR Activation	N/A	N/A	N/A	-0.378	N/A	0.378	1.342	N/A
CDX Gastrointestinal Cancer Signaling Pathway	N/A	N/A	0.447	0.0	N/A	-0.333	0.816	0.447
Activated PKN1 stimulates transcription of AR regulated genes KLK2 and KLK3	N/A	N/A	N/A	N/A	N/A	2.0	N/A	N/A
Interleukin-6 family signaling	N/A	N/A	N/A	2.0	N/A	N/A	N/A	N/A
Chromatin organization	N/A	N/A	N/A	N/A	N/A	2.0	N/A	N/A
Regulation of endogenous retroelements	N/A	N/A	N/A	N/A	N/A	2.0	N/A	N/A
Activation of anterior HOX genes in hindbrain during early embryogenesis	N/A	N/A	N/A	N/A	N/A	2.0	N/A	N/A
DNA Double Strand Break Response	N/A	N/A	N/A	N/A	N/A	2.0	N/A	N/A
DNA Replication Pre-Initiation	N/A	N/A	N/A	N/A	N/A	2.0	N/A	N/A
Signaling by SCF-KIT	N/A	N/A	N/A	2.0	N/A	N/A	N/A	N/A
Immunogenic Cell Death Signaling Pathway	N/A	N/A	N/A	2.0	N/A	N/A	N/A	N/A
Toll-like Receptor Cascades	N/A	N/A	N/A	2.0	N/A	N/A	N/A	N/A
SIRT1 negatively regulates rRNA expression	N/A	N/A	N/A	N/A	N/A	2.0	N/A	N/A
B-WICH complex positively regulates rRNA expression	N/A	N/A	N/A	N/A	N/A	2.0	N/A	N/A
Pre-NOTCH Expression and Processing	N/A	N/A	N/A	N/A	N/A	2.0	N/A	N/A
Transport of bile salts and organic acids, metal ions and amine compounds	N/A	N/A	N/A	2.0	N/A	N/A	N/A	N/A
Nucleosome assembly	N/A	N/A	N/A	N/A	N/A	2.0	N/A	N/A
Replacement of protamines by nucleosomes in the male pronucleus	N/A	N/A	N/A	N/A	N/A	2.0	N/A	N/A
Mitotic Prophase	N/A	N/A	N/A	N/A	N/A	2.0	N/A	N/A
E3 ubiquitin ligases ubiquitinate target proteins	N/A	N/A	N/A	N/A	N/A	2.0	N/A	N/A
Platelet homeostasis	N/A	N/A	N/A	2.0	N/A	N/A	N/A	N/A
Neuroprotective Role of THOP1 in Alzheimer's Disease	N/A	N/A	N/A	2.0	N/A	N/A	N/A	N/A
Nonhomologous End-Joining (NHEJ)	N/A	N/A	N/A	N/A	N/A	2.0	N/A	N/A
Growth hormone receptor signaling	N/A	N/A	N/A	2.0	N/A	N/A	N/A	N/A
Telomere Maintenance	N/A	N/A	N/A	N/A	N/A	2.0	N/A	N/A
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	N/A	N/A	N/A	N/A	N/A	2.0	N/A	N/A
MyD88:MAL(TIRAP) cascade initiated on plasma membrane	N/A	N/A	N/A	2.0	N/A	N/A	N/A	N/A
Chromatin modifications during the maternal to zygotic transition (MZT)	N/A	N/A	N/A	N/A	N/A	2.0	N/A	N/A
Regulation of TLR by endogenous ligand	N/A	N/A	N/A	2.0	N/A	N/A	N/A	N/A
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression	N/A	N/A	N/A	N/A	N/A	2.0	N/A	N/A
Meiotic recombination	N/A	N/A	N/A	N/A	N/A	2.0	N/A	N/A
Preeclampsia Signaling Pathway	N/A	N/A	N/A	0.0	N/A	-2.0	N/A	N/A
Meiotic synapsis	N/A	N/A	N/A	N/A	N/A	2.0	N/A	N/A
Signaling by NTRK3 (TRKC)	N/A	N/A	N/A	2.0	N/A	N/A	N/A	N/A
DNA methylation	N/A	N/A	N/A	N/A	N/A	2.0	N/A	N/A
Airway Pathology in Chronic Obstructive Pulmonary Disease	N/A	N/A	N/A	N/A	N/A	2.0	N/A	N/A
TAK1-dependent IKK and NF-kappa-B activation	N/A	N/A	N/A	2.0	N/A	N/A	N/A	N/A
NoRC negatively regulates rRNA expression	N/A	N/A	N/A	N/A	N/A	2.0	N/A	N/A
Cell Cycle Checkpoints	N/A	N/A	N/A	N/A	N/A	2.0	N/A	N/A
PRC2 methylates histones and DNA	N/A	N/A	N/A	N/A	N/A	2.0	N/A	N/A
Gene Silencing by RNA	N/A	N/A	N/A	N/A	N/A	2.0	N/A	N/A
RNA Polymerase I Transcription	N/A	N/A	N/A	N/A	N/A	2.0	N/A	N/A
TREM1 Signaling	N/A	N/A	N/A	1.89	N/A	N/A	N/A	N/A
Toll-like Receptor Signaling	N/A	N/A	N/A	1.89	N/A	N/A	N/A	N/A
Regulation of the Epithelial Mesenchymal Transition by Growth Factors Pathway	N/A	N/A	N/A	1.414	N/A	-0.447	N/A	N/A
Parkinson's Signaling Pathway	N/A	N/A	N/A	0.577	N/A	0.816	-0.447	N/A
Erythropoietin Signaling Pathway	N/A	N/A	N/A	-0.378	N/A	-0.447	1.0	N/A
Sertoli Cell-Sertoli Cell Junction Signaling	N/A	N/A	N/A	0.816	N/A	-1.0	N/A	N/A
Senescence-Associated Secretory Phenotype (SASP)	N/A	N/A	N/A	-1.0	N/A	0.816	N/A	N/A
Cyclophilin Signaling Pathway	N/A	N/A	-1.0	0.707	N/A	0.0	N/A	N/A
Hepatitis B Chronic Liver Pathogenesis Signaling Pathway	N/A	N/A	-1.0	-0.707	N/A	0.0	N/A	N/A
Colorectal Cancer Metastasis Signaling	N/A	N/A	N/A	1.667	N/A	N/A	N/A	N/A
Th1 Pathway	N/A	N/A	N/A	1.633	N/A	N/A	N/A	N/A
Interferon Signaling	N/A	N/A	N/A	1.633	N/A	N/A	N/A	N/A
Nucleotide catabolism	N/A	N/A	N/A	1.633	N/A	N/A	N/A	N/A
Role of RIG1-like Receptors in Antiviral Innate Immunity	N/A	N/A	N/A	1.633	N/A	N/A	N/A	N/A
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	N/A	N/A	N/A	1.633	N/A	N/A	N/A	N/A
Atherosclerosis Signaling	N/A	N/A	0.0	1.134	0.447	N/A	N/A	N/A
BBSome Signaling Pathway	N/A	N/A	N/A	0.577	N/A	1.0	N/A	N/A
RAR Activation	N/A	N/A	N/A	0.832	N/A	-0.333	-0.378	0.0
Role of Osteoclasts in Rheumatoid Arthritis Signaling Pathway	N/A	N/A	N/A	0.378	N/A	-1.134	N/A	N/A
Adrenergic Receptor Signaling Pathway (Enhanced)	N/A	N/A	N/A	0.0	N/A	-0.447	1.0	N/A
IL-17A Signaling in Fibroblasts	N/A	N/A	N/A	0.447	N/A	-1.0	N/A	N/A
Pulmonary Fibrosis Idiopathic Signaling Pathway	N/A	N/A	N/A	-0.302	N/A	-1.134	N/A	N/A
Ribonucleotide Reductase Signaling Pathway	N/A	N/A	N/A	1.414	N/A	N/A	N/A	N/A
Autism Signaling Pathway	N/A	N/A	N/A	1.414	N/A	0.0	N/A	N/A
Oxytocin Signaling Pathway	N/A	N/A	0.0	1.414	N/A	N/A	N/A	N/A
IL-12 Signaling and Production in Macrophages	N/A	N/A	0.0	0.905	N/A	-0.447	N/A	N/A
Aryl Hydrocarbon Receptor Signaling	N/A	N/A	N/A	-1.342	N/A	N/A	N/A	N/A
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza	N/A	N/A	N/A	1.342	N/A	N/A	N/A	N/A
Activation of Matrix Metalloproteinases	N/A	N/A	N/A	N/A	N/A	1.342	N/A	N/A
G Beta Gamma Signaling	N/A	N/A	N/A	1.342	N/A	0.0	N/A	N/A
Pyroptosis Signaling Pathway	N/A	N/A	N/A	1.342	N/A	N/A	N/A	N/A
Oxidative Stress Induced Senescence	N/A	N/A	N/A	N/A	N/A	1.342	N/A	N/A
ESR-mediated signaling	N/A	N/A	N/A	N/A	N/A	1.342	N/A	N/A
Acetylcholine Receptor Signaling Pathway	N/A	N/A	N/A	-1.134	N/A	N/A	N/A	N/A
Neutrophil Extracellular Trap Signaling Pathway	N/A	N/A	N/A	0.302	0.447	0.378	N/A	N/A
MSP-RON Signaling in Macrophages Pathway	N/A	N/A	N/A	-1.0	N/A	N/A	N/A	N/A
ERBB Signaling	N/A	N/A	N/A	-1.0	N/A	N/A	N/A	N/A
Role of JAK1 and JAK3 in γc Cytokine Signaling	N/A	N/A	N/A	1.0	N/A	N/A	N/A	N/A
IL-13 Signaling Pathway	N/A	N/A	N/A	0.0	N/A	-1.0	N/A	N/A
Estrogen Receptor Signaling	N/A	N/A	N/A	0.0	N/A	-1.0	N/A	N/A
iNOS Signaling	N/A	N/A	N/A	1.0	N/A	N/A	N/A	N/A
HGF Signaling	N/A	N/A	N/A	1.0	N/A	N/A	N/A	N/A
IL-3 Signaling	N/A	N/A	N/A	1.0	N/A	N/A	N/A	N/A
PIP3 activates AKT signaling	N/A	N/A	N/A	-1.0	N/A	N/A	N/A	N/A
Pyroptosis	N/A	N/A	N/A	1.0	N/A	N/A	N/A	N/A
G alpha (q) signalling events	N/A	N/A	N/A	1.0	N/A	N/A	N/A	N/A
Retinoid metabolism and transport	N/A	N/A	N/A	1.0	N/A	N/A	N/A	N/A
Oxytocin in Brain Signaling Pathway	N/A	N/A	N/A	0.816	N/A	N/A	N/A	N/A
Cellular Effects of Sildenafil (Viagra)	N/A	N/A	N/A	-0.258	N/A	-0.447	N/A	N/A
PDGF Signaling	N/A	N/A	N/A	0.447	N/A	N/A	N/A	N/A
Cholecystokinin/Gastrin-mediated Signaling	N/A	N/A	N/A	-0.447	N/A	N/A	N/A	N/A
GNRH Signaling	N/A	N/A	N/A	-0.447	N/A	N/A	N/A	N/A
Degradation of the extracellular matrix	N/A	N/A	N/A	N/A	N/A	0.447	N/A	N/A
Role of JAK2 in Hormone-like Cytokine Signaling	N/A	N/A	N/A	-0.447	N/A	N/A	N/A	N/A
DHCR24 Signaling Pathway	N/A	N/A	N/A	0.447	N/A	N/A	N/A	N/A
STAT3 Pathway	N/A	N/A	N/A	-0.447	N/A	N/A	N/A	N/A
Cerebral Malformation Signaling Pathway	N/A	N/A	N/A	-0.447	N/A	N/A	N/A	N/A
Role of JAK family kinases in IL-6-type Cytokine Signaling	N/A	N/A	N/A	0.378	N/A	N/A	N/A	N/A
Acute Phase Response Signaling	N/A	N/A	N/A	0.378	N/A	N/A	N/A	N/A
ID1 Signaling Pathway	N/A	N/A	N/A	0.333	N/A	N/A	N/A	N/A
Complement System	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Metabolism of nitric oxide: NOS3 activation and regulation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
COPII-mediated vesicle transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RAF-independent MAPK1/3 activation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Transcriptional regulation of white adipocyte differentiation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B Cell Activating Factor Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Fatty Acid α-oxidation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Caveolar-mediated Endocytosis Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Caspase activation via Death Receptors in the presence of ligand	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ATF4 activates genes in response to endoplasmic reticulum stress	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Chemokine Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Gαi Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Phagosome Maturation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Clathrin-mediated endocytosis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Syndecan interactions	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Thymine Degradation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Formation of Fibrin Clot (Clotting Cascade)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Neuregulin Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Tryptophan Degradation III (Eukaryotic)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FOXO-mediated transcription of cell cycle genes	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Xanthine and Xanthosine Salvage	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RIPK1-mediated regulated necrosis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Vitamin-C Transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NAD biosynthesis II (from tryptophan)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MyD88 dependent cascade initiated on endosome	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Maturity Onset Diabetes of Young (MODY) Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Toll Like Receptor 3 (TLR3) Cascade	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Role of IL-17A in Arthritis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Adenine and Adenosine Salvage I	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CDK5 Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Transcriptional Regulation by NPAS4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Pyrophosphate hydrolysis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Glucocorticoid Receptor Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Pancreatic Adenocarcinoma Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Tryptophan catabolism	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Signaling by ERBB4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Thiosulfate Disproportionation III (Rhodanese)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Prolactin Signaling	N/A	N/A	N/A	0.0	N/A	N/A	N/A	N/A
Mineralocorticoid Biosynthesis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Regulation of the Epithelial-Mesenchymal Transition Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Prostanoid Biosynthesis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ERK5 Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Opioid Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Lipid particle organization	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CXCR4 Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Inhibition of Angiogenesis by TSP1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CD40 Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Apelin Muscle Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
DNA damage-induced 14-3-3σ Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Metabolism of cofactors	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Arsenate Detoxification I (Glutaredoxin)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Granulocyte Adhesion and Diapedesis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Role of MAPK Signaling in Promoting the Pathogenesis of Influenza	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
UVA-Induced MAPK Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Pulmonary Healing Signaling Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Glutamate Receptor Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Senescence Pathway	N/A	N/A	N/A	0.0	N/A	N/A	N/A	N/A
Interleukin-7 signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BMAL1:CLOCK,NPAS2 activates circadian gene expression	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NFE2L2 regulating inflammation associated genes	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Synthesis, secretion, and deacylation of Ghrelin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Thio-molybdenum Cofactor Biosynthesis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
COPI-mediated anterograde transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Signaling by CSF3 (G-CSF)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Gastrin-CREB signalling pathway via PKC and MAPK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NFE2L2 regulating tumorigenic genes	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LPS/IL-1 Mediated Inhibition of RXR Function	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Th1 and Th2 Activation Pathway	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RHO GTPases Activate ROCKs	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Relaxin Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Serotonin and Melatonin Biosynthesis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CCR3 Signaling in Eosinophils	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TNFR1 Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Regulation of lipid metabolism by PPARalpha	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Melatonin Degradation III	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Cargo recognition for clathrin-mediated endocytosis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Role of Cytokines in Mediating Communication between Immune Cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Thyroid Cancer Signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FasL/ CD95L signaling	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Neurotransmitter uptake and metabolism In glial cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Signaling by TGFBR3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
