Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
sample19	49888664.0	150.0	38613017.0	77.4	147.34	6410025.0	0.0	6312978.0	36739.0	3170.0	57138.0	1.21	0.02	1.96	0.02	1.83	6987663.0	14.01	25606.0	0.05	0.0	8.5	0.04	0	4242414	19964
sample20	46230074.0	150.0	36157696.0	78.21	147.27	5950834.0	0.0	5855445.0	34334.0	3209.0	57846.0	1.22	0.02	2.01	0.02	1.9	5941006.0	12.85	24210.0	0.05	0.0	8.84	0.04	0	4088661	18501
sample21	43207662.0	150.0	28236214.0	65.35	147.5	5301635.0	0.0	5226953.0	30233.0	2419.0	42030.0	1.26	0.02	1.9	0.01	1.88	11559353.0	26.75	27313.0	0.06	0.0	7.8	0.04	0	3367513	17269
sample26	49150221.0	150.0	33339484.0	67.83	147.63	6331494.0	0.0	6243396.0	37235.0	4010.0	46853.0	1.19	0.02	1.9	0.01	1.84	12510254.0	25.45	18165.0	0.04	0.0	6.65	0.03	0	3267577	14741
sample27	58687358.0	150.0	37372163.0	63.68	147.58	7818814.0	0.0	7713595.0	42642.0	4048.0	58529.0	1.15	0.02	1.92	0.01	1.78	17605948.0	30.0	39643.0	0.07	0.0	6.22	0.03	0	3651990	17614
sample28	31305552.0	150.0	24100741.0	76.99	147.76	3838033.0	0.0	3783930.0	22822.0	2183.0	29098.0	1.26	0.02	1.92	0.01	1.89	5042737.0	16.11	19131.0	0.06	0.0	6.78	0.07	0	2121044	21899
sample29	51654160.0	150.0	35348172.0	68.43	147.47	6245240.0	0.0	6149275.0	34275.0	3799.0	57891.0	1.17	0.02	1.95	0.01	1.8	12557530.0	24.31	22997.0	0.04	0.0	7.18	0.03	0	3709960	15501
sample30	48916318.0	150.0	32918137.0	67.29	147.77	6208174.0	0.0	6123451.0	37869.0	3220.0	43634.0	1.16	0.02	1.9	0.01	1.88	12897098.0	26.37	24738.0	0.05	0.0	6.24	0.05	0	3051891	24454
sample31	52153587.0	150.0	40015126.0	76.73	147.57	6666154.0	0.0	6570648.0	38200.0	3757.0	53549.0	1.23	0.02	1.9	0.01	1.86	8110669.0	15.55	28284.0	0.05	0.0	7.62	0.05	0	3973436	26072
sample32	49712330.0	150.0	40893195.0	82.26	147.99	5414807.0	0.0	5332830.0	33056.0	3369.0	45552.0	1.2	0.02	1.93	0.02	1.9	5530179.0	11.12	24505.0	0.05	0.0	6.5	0.06	0	3234593	29858
sample33	40662563.0	150.0	27185689.0	66.86	147.31	4812194.0	0.0	4730608.0	29088.0	2821.0	49677.0	1.18	0.02	1.91	0.01	1.86	10284064.0	25.29	24907.0	0.06	0.0	7.75	0.04	0	3151636	16267
sample34	52454263.0	150.0	36980206.0	70.5	147.65	6458579.0	0.0	6364147.0	41920.0	3221.0	49291.0	1.23	0.02	1.92	0.01	1.92	9142341.0	17.43	27900.0	0.05	0.0	11.96	0.05	0	6277572	26244
sample35	44551504.0	150.0	37102549.0	83.28	147.88	4857394.0	0.0	4781719.0	30782.0	2875.0	42018.0	1.18	0.03	1.95	0.02	1.89	3820874.0	8.58	30292.0	0.07	0.0	7.99	0.08	0	3562123	35666
sample36	54972048.0	150.0	41560182.0	75.6	147.69	6202019.0	0.0	6102076.0	40615.0	3260.0	56068.0	1.25	0.02	1.91	0.01	1.93	5633961.0	10.25	36777.0	0.07	0.0	14.0	0.08	0	7697144	43984
sample37	47356531.0	150.0	31703937.0	66.95	147.6	4337227.0	0.0	4261232.0	28803.0	2279.0	44913.0	1.26	0.02	1.91	0.01	1.91	6224540.0	13.14	37846.0	0.08	0.0	19.74	0.09	0	9347590	42618
